mere;bb;gest;ps;reg;tps;gdp
4;4,1;NP;NP;NPNP;9;55,75
4;4,2;NP;NP;NPNP;9;46,2
4;4,3;NP;C1;NPC1;9;47,8
4;4,4;NP;C2;NPC2;9;45,13333333
4;4,5;NP;C1;NPC1;9;52,46666667
4;4,6;NP;C2;NPC2;9;45,16666667
5;5,1;NP;C1;NPC1;9;49,56666667
5;5,2;NP;C2;NPC2;9;33,08333333
5;5,4;NP;NP;NPNP;9;48,63333333
5;5,5;NP;NP;NPNP;9;43,35
6;6,1;HP;C1;HPC1;9;45,26666667
6;6,2;HP;C2;HPC2;9;38,71666667
7;7,1;HP;NP;HPNP;9;51
7;7,3;HP;C1;HPC1;9;45,08333333
7;7,5;HP;C2;HPC2;9;58,36666667
7;7,6;HP;NP;HPNP;9;45,93333333
8;8,1;HP;C2;HPC2;9;55,21666667
8;8,2;HP;C1;HPC1;9;45,68333333
8;8,5;HP;NP;HPNP;9;54,1
10;10,2;NP;NP;NPNP;9;47,69
10;10,5;NP;C2;NPC2;9;51,76
11;11,1;NP;C2;NPC2;9;43,9
11;11,2;NP;C1;NPC1;9;44,62
11;11,3;NP;NP;NPNP;9;41,31
12;12,1;HP;C2;HPC2;9;51,07
12;12,2;HP;NP;HPNP;9;46,15
13;13,2;HP;C1;HPC1;9;51,26
13;13,3;HP;C2;HPC2;9;52,31
16;16,1;HP;NP;HPNP;9;56,73333333
16;16,2;HP;C2;HPC2;9;48,3
16;16,3;HP;C1;HPC1;9;45
17;17,1;NP;C1;NPC1;9;51,6
17;17,2;NP;C2;NPC2;9;56,88333333
17;17,3;NP;NP;NPNP;9;56,21666667
17;17,5;NP;C1;NPC1;9;52,1
18;18,2;HP;C1;HPC1;9;39,91666667
18;18,4;HP;NP;HPNP;9;50
19;19,1;NP;C1;NPC1;9;41,56666667
19;19,3;NP;NP;NPNP;9;51,13333333
19;19,4;NP;C2;NPC2;9;52,38333333
20;20,1;HP;C1;HPC1;9;50,4
20;20,3;HP;C2;HPC2;9;52,45
2;2,1;NP;C2;NPC2;10;46,7
2;2,2;NP;C1;NPC1;10;47,2
3;3,2;HP;C1;HPC1;10;54,3
3;3,3;HP;NP;HPNP;10;48,4
3;3,4;HP;C2;HPC2;10;56
4;4,1;NP;NP;NPNP;10;54,4
4;4,2;NP;NP;NPNP;10;47
4;4,3;NP;C1;NPC1;10;50
4;4,4;NP;C2;NPC2;10;52,9
4;4,5;NP;C1;NPC1;10;56,4
4;4,6;NP;C2;NPC2;10;45,6
5;5,1;NP;C1;NPC1;10;59,1
5;5,2;NP;C2;NPC2;10;39
5;5,4;NP;NP;NPNP;10;55,8
5;5,5;NP;NP;NPNP;10;50,9
6;6,1;HP;C1;HPC1;10;46,8
6;6,2;HP;C2;HPC2;10;44,7
7;7,1;HP;NP;HPNP;10;50
7;7,3;HP;C1;HPC1;10;46,8
7;7,5;HP;C2;HPC2;10;61,8
7;7,6;HP;NP;HPNP;10;51,6
8;8,1;HP;C2;HPC2;10;63,3
8;8,2;HP;C1;HPC1;10;54,4
8;8,5;HP;NP;HPNP;10;56,9
10;10,2;NP;NP;NPNP;10;46,1
10;10,5;NP;C2;NPC2;10;50,2
11;11,1;NP;C2;NPC2;10;50,5
11;11,2;NP;C1;NPC1;10;51,7
11;11,3;NP;NP;NPNP;10;42,1
12;12,1;HP;C2;HPC2;10;55,7
12;12,2;HP;NP;HPNP;10;56,3
13;13,2;HP;C1;HPC1;10;58,7
13;13,3;HP;C2;HPC2;10;56,1
16;16,1;HP;NP;HPNP;10;59,4
16;16,2;HP;C2;HPC2;10;51,3
16;16,3;HP;C1;HPC1;10;48,6
17;17,1;NP;C1;NPC1;10;56,1
17;17,2;NP;C2;NPC2;10;57,3
17;17,3;NP;NP;NPNP;10;60,9
17;17,5;NP;C1;NPC1;10;52,1
18;18,2;HP;C1;HPC1;10;46
18;18,4;HP;NP;HPNP;10;50,2
19;19,1;NP;C1;NPC1;10;44,3
19;19,3;NP;NP;NPNP;10;54,7
19;19,4;NP;C2;NPC2;10;52,2
20;20,1;HP;C1;HPC1;10;51,3
20;20,3;HP;C2;HPC2;10;55
2;2,1;NP;C2;NPC2;11;48,3
2;2,2;NP;C1;NPC1;11;44,3
3;3,2;HP;C1;HPC1;11;52,5
3;3,3;HP;NP;HPNP;11;47,1
3;3,4;HP;C2;HPC2;11;54,6
4;4,1;NP;NP;NPNP;11;58,3
4;4,2;NP;NP;NPNP;11;53,2
4;4,3;NP;C1;NPC1;11;56,2
4;4,4;NP;C2;NPC2;11;60,6
4;4,5;NP;C1;NPC1;11;60,3
4;4,6;NP;C2;NPC2;11;47,7
5;5,1;NP;C1;NPC1;11;60
5;5,2;NP;C2;NPC2;11;43
5;5,4;NP;NP;NPNP;11;58,4
5;5,5;NP;NP;NPNP;11;55,1
6;6,1;HP;C1;HPC1;11;48,3
6;6,2;HP;C2;HPC2;11;45,5
7;7,1;HP;NP;HPNP;11;56,7
7;7,3;HP;C1;HPC1;11;51,1
7;7,5;HP;C2;HPC2;11;59,4
7;7,6;HP;NP;HPNP;11;61,7
8;8,1;HP;C2;HPC2;11;61
8;8,2;HP;C1;HPC1;11;59,2
